,Region_annotation
1304,Invasive
1305,Invasive
1306,Invasive
1307,Invasive
1308,Invasive
1309,Invasive
1310,Invasive
1311,Invasive
1312,Invasive
1313,Invasive
1314,Invasive
1315,Invasive
1316,Invasive
1317,Invasive
1318,Invasive
1319,Invasive
1320,Invasive
1321,Invasive
1322,Invasive
1323,Invasive
1324,Invasive
1325,Invasive
1326,Invasive
1327,Invasive
1328,Invasive
1334,Invasive
1337,Invasive
1338,Invasive
1339,Invasive
1340,Invasive
1341,Invasive
1342,Invasive
1343,Invasive
1344,Invasive
1345,Invasive
1346,Invasive
1347,Invasive
1348,Invasive
1349,Invasive
1350,Invasive
1351,Invasive
1352,Invasive
1353,Invasive
1354,Invasive
1355,Invasive
1356,Invasive
1357,Invasive
1358,Invasive
1359,Invasive
1360,Invasive
1361,Invasive
1362,Invasive
1363,Invasive
1364,Invasive
1365,Invasive
1366,Invasive
1367,Invasive
1368,Invasive
1369,Invasive
1370,Invasive
1371,Invasive
1372,Invasive
1373,Invasive
1374,Invasive
1375,Invasive
1376,Invasive
1377,Invasive
1378,Invasive
1380,Invasive
1382,Invasive
1383,Invasive
1384,Invasive
1386,Invasive
1387,Invasive
1388,Invasive
1391,Invasive
1392,Invasive
1394,Invasive
1395,Invasive
1396,Invasive
1398,Invasive
1399,Invasive
1400,Invasive
1401,Invasive
1403,Invasive
1404,Invasive
1405,Invasive
1406,Invasive
1407,Invasive
1408,Invasive
1409,Invasive
1410,Invasive
1411,Invasive
1412,Invasive
1413,Invasive
1414,Invasive
1415,Invasive
1416,Invasive
1417,Invasive
1418,Invasive
1419,Invasive
1420,Invasive
1421,Invasive
1423,Invasive
1424,Invasive
1425,Invasive
1427,Invasive
1428,Invasive
1429,Invasive
1430,Invasive
1431,Invasive
1432,Invasive
1433,Unassigned
1435,Unassigned
1436,Unassigned
1437,Unassigned
1438,Unassigned
1439,Unassigned
1440,Unassigned
1441,Unassigned
1443,Unassigned
1445,Unassigned
1448,Unassigned
1449,Unassigned
1450,Unassigned
1454,Unassigned
1456,Unassigned
1458,Unassigned
1459,Unassigned
1460,Unassigned
1461,Unassigned
1462,Unassigned
1463,Unassigned
1464,Unassigned
1465,Unassigned
1466,Unassigned
1467,Unassigned
1468,Unassigned
1469,Unassigned
1470,Unassigned
1472,Unassigned
1473,Unassigned
1474,Unassigned
1475,Unassigned
1476,Unassigned
1477,Unassigned
1478,Unassigned
1480,Unassigned
1481,Unassigned
1482,Unassigned
1483,Unassigned
1484,Unassigned
1485,Unassigned
1486,Unassigned
1487,Unassigned
1488,Unassigned
1489,Unassigned
1490,Unassigned
1491,Unassigned
1492,Unassigned
1493,Unassigned
1495,Unassigned
1496,Unassigned
1497,Unassigned
1498,Unassigned
1499,Unassigned
1500,Unassigned
1501,Unassigned
1502,Unassigned
1503,Unassigned
1504,Unassigned
1505,Unassigned
1506,Unassigned
1507,Unassigned
1508,Unassigned
1510,Unassigned
1511,Unassigned
1512,Unassigned
1513,Unassigned
1514,Unassigned
1515,Unassigned
1517,Unassigned
1518,Unassigned
1519,Unassigned
1522,Unassigned
1523,Unassigned
1524,Unassigned
1526,Unassigned
1527,Unassigned
1529,Unassigned
1531,Unassigned
1534,Unassigned
1536,Unassigned
1537,Invasive
1540,Unassigned
1541,Invasive
1543,Unassigned
1544,Invasive
1545,Invasive
1546,Invasive
1547,Invasive
1548,Invasive
1549,Invasive
1550,Invasive
1551,Invasive
1552,Invasive
1553,Invasive
1554,Invasive
1555,Invasive
1556,Invasive
1557,Invasive
1558,Invasive
1560,Invasive
1565,Invasive
1566,Unassigned
1567,Unassigned
1569,Unassigned
1570,Unassigned
1571,Unassigned
1573,Unassigned
1574,Unassigned
1575,Unassigned
1576,Invasive
1577,Unassigned
1578,Unassigned
1579,Unassigned
1580,Unassigned
1581,Unassigned
1582,Unassigned
1583,Invasive
1584,Invasive
1585,Invasive
1586,Invasive
1587,Invasive
1588,Invasive
1589,Invasive
1590,Invasive
1591,Invasive
1592,Invasive
1593,Unassigned
1594,Invasive
1595,Unassigned
1596,Invasive
1597,Unassigned
1598,Unassigned
1599,Invasive
1600,Invasive
1601,Unassigned
1602,Unassigned
1603,Unassigned
1604,Invasive
1605,Unassigned
1606,Invasive
1609,Unassigned
1610,Invasive
1611,Invasive
1612,Unassigned
1613,Invasive
1615,Invasive
1616,Invasive
1617,Invasive
1618,Invasive
1619,Invasive
1621,Unassigned
1624,Unassigned
1626,Invasive
1627,Invasive
1628,Invasive
1629,Invasive
1630,Unassigned
1633,Unassigned
1634,Invasive
1635,Invasive
1636,Unassigned
1637,Unassigned
1638,Invasive
1639,Unassigned
1640,Invasive
1641,Invasive
1642,Invasive
1643,Invasive
1644,Invasive
1645,Unassigned
1648,Unassigned
1650,Invasive
1651,Invasive
1652,Invasive
1653,Unassigned
1654,Invasive
1655,Invasive
1657,Unassigned
1659,Unassigned
1660,Invasive
1662,Unassigned
1663,Unassigned
1664,Unassigned
1665,Invasive
1666,Unassigned
1667,Invasive
1668,Invasive
1669,Invasive
1670,Invasive
1671,Unassigned
1673,Invasive
1674,Invasive
1675,Invasive
1676,Invasive
1677,Invasive
1678,Invasive
1679,Invasive
1680,Invasive
1681,Invasive
1682,Invasive
1683,Invasive
1684,Invasive
1685,Invasive
1686,Invasive
1687,Invasive
1688,Invasive
1689,Invasive
1690,Invasive
1692,Invasive
1693,Invasive
1694,Invasive
1695,Invasive
1696,Invasive
1698,Invasive
1699,Invasive
1700,Invasive
1701,Invasive
1702,Invasive
1703,Invasive
1704,Invasive
1705,Invasive
1706,Invasive
1707,Invasive
1708,Invasive
1709,Invasive
1710,Invasive
1711,Invasive
1712,Invasive
1713,Invasive
1714,Invasive
1715,Invasive
1716,Invasive
1717,Invasive
1719,Invasive
1720,Invasive
1721,Invasive
1722,Invasive
1723,Invasive
1724,Invasive
1725,Invasive
1726,Invasive
1727,Invasive
1728,Invasive
1729,Invasive
1730,Invasive
1731,Invasive
1732,Invasive
1733,Invasive
1734,Invasive
1735,Invasive
1736,Invasive
1737,Invasive
1738,Invasive
1739,Invasive
1740,Invasive
1741,Invasive
1742,Invasive
1743,Invasive
1744,Invasive
1745,Invasive
1746,Invasive
1747,Invasive
1749,Invasive
1750,Invasive
1751,Invasive
1752,Invasive
1753,Invasive
1754,Invasive
1755,Invasive
1756,Invasive
1757,Invasive
1758,Invasive
1759,Invasive
1760,Unassigned
1761,Unassigned
1762,Unassigned
1763,Unassigned
1764,Unassigned
1765,Unassigned
1766,Unassigned
1767,Unassigned
1768,Unassigned
1769,Unassigned
1770,Unassigned
1771,Invasive
1772,Invasive
1773,Invasive
1774,Invasive
1775,Invasive
1776,Invasive
1777,Invasive
1778,Invasive
1780,Invasive
1781,Invasive
1783,Invasive
1784,Invasive
1785,Invasive
1788,Invasive
1789,Invasive
1790,Invasive
1791,Invasive
1793,Invasive
1794,Invasive
1795,Invasive
1796,Invasive
1797,Invasive
1798,Invasive
1799,Invasive
1800,Invasive
1801,Invasive
1802,Invasive
1803,Invasive
1804,Invasive
1805,Invasive
1806,Invasive
1807,Invasive
1808,Invasive
1809,Invasive
1811,Invasive
1812,Invasive
1813,Invasive
1815,Invasive
1817,Invasive
1818,Invasive
1820,Invasive
1822,Invasive
1823,Invasive
1824,Invasive
1825,Invasive
1826,Invasive
1827,Invasive
1828,Invasive
1829,Invasive
1830,Invasive
1831,Invasive
